DOSE,TIME,CTOT,T_FREEFRAC
0.1,0,NA,1.061763
0.1,0.1,0.014736345,NA
0.1,1,0.011093207,0.806955
0.1,3,0.009391166,1.167141
0.1,7,0.006422876,1.022325
0.3,0,NA,1.012697
0.3,0.05,0.018796434,NA
0.3,0.1,0.025075076,NA
0.3,1,0.031409683,1.022325
0.3,3,0.019928552,1.012697
0.3,7,0.009776234,1.134474
1,0,NA,1.012697
1,0.05,0.072532138,NA
1,0.1,0.090524828,NA
1,1,0.062405641,1.383872
1,3,0.051624269,1.200749
1,7,0.030938917,1.200749
3,0,NA,1
3,0.05,0.426590828,NA
3,0.1,0.239889655,0.70683
3,0.333333333,NA,0.830191
3,1,0.293912069,0.643012
3,3,0.232648414,0.755235
3,7,0.109185517,0.984353
10,0,NA,1
10,0.05,1.573931034,NA
10,0.083333333,NA,1.270895
10,0.1,1.410616552,NA
10,1,1.160213793,0.02504
10,3,0.918023448,0.444575
10,7,0.561849793,1.753217
30,0,NA,1
30,0.1,4.872896552,0.264191
30,0.333333333,NA,0.537201
30,1,3.357966897,0.393116
30,3,2.430416552,0.337884
30,7,1.457131034,0.830191
50,0,NA,0.993711
50,0.1,8.108510345,0.19151
50,0.333333333,NA,0.038332
50,0.5,NA,0.023883
50,1,4.47792069,0.015454
50,1.3,NA,0.031128
50,3,3.95794069,NA
50,7,2.590191724,0.432132